Nombre;Dia de Mercadillo;Tipo;Ubicación;Horario;Puestos;Descripcion;Comunidad;Provincia;;;;
Mercadillo de Cáceres;Miércoles;Generalista;Calle Fausto Picapiedra, 7;De 9:00 a 14:00;250;;Extremadura;CACERES;;;;
Mercadillo de Guadalupe;Lunes;;Calle Mayor;;;;Extremadura;CACERES;;;;
Mercadillo de Almaraz;Lunes;;Calle Miguel de Cervantes;;;;Extremadura;CACERES;;;;
Mercadillo de Montehermoso;Lunes;;Montehermoso;;;;Extremadura;CACERES;;;;
Mercadillo de Valencia de Alcántara;Lunes;;Plaza de la Constitución;;;;Extremadura;CACERES;;;;
Mercadillo de Gata;Lunes;;Plaza de la Constitución;;;;Extremadura;CACERES;;;;
Mercadillo de Valdefuentes;Martes;;Plaza de España;;;;Extremadura;CACERES;;;;
Mercadillo de Almoharín;Martes;;Plaza de España;;;;Extremadura;CACERES;;;;
Mercadillo de Brozas;Martes;;Plaza Príncipe de Asturias;;;;Extremadura;CACERES;;;;
Mercadillo de Madroñera;Martes;;Plaza de Abastos;;;;Extremadura;CACERES;;;;
Mercadillo de Losar de la Vera;Martes;;Losar de la Vera;;;;Extremadura;CACERES;;;;
Mercadillo de Malpartida de Cáceres,;Martes;;Plaza de la Nora;;;;Extremadura;CACERES;;;;
Mercadillo de Plasencia;Martes;;Avenida de la Hispanidad;;;;Extremadura;CACERES;;;;
Mercadillo de Caminomorisco;Martes;;Caminomorisco;;;;Extremadura;CACERES;;;;
Mercadillo de Pizarra;Miércoles;;Plaza de la Hispanidad;;;;Extremadura;CACERES;;;;
Mercadillo de Guadalupe;Miércoles;;Calle Mayor;;;;Extremadura;CACERES;;;;
Mercadillo de Miajadas;Miércoles;;Calle Cervantes;;;;Extremadura;CACERES;;;;
Mercadillo de Campo Lugar;Miércoles;;Plaza de España;;;;Extremadura;CACERES;;;;
Mercadillo de Garrovillas de Alconétar;Miércoles;;Plaza de la Constitución;;;;Extremadura;CACERES;;;;
Mercadillo de Cáceres;Miércoles;;Calle Santo Tomás de Aquino;;;;Extremadura;CACERES;;;;
Mercadillo de Carcaboso;Miércoles;;Plaza de España;;;;Extremadura;CACERES;;;;
Mercadillo de Jerte;Jueves;;Plaza de la Independencia;;;;Extremadura;CACERES;;;;
Mercadillo de Aliseda;Jueves;;Plaza de Extremadura;;;;Extremadura;CACERES;;;;
Mercadillo de Cáceres;Jueves;;Ronda del Carmen;;;;Extremadura;CACERES;;;;
Mercadillo de Cañamero;Jueves;;Plaza de Santo Domingo;;;;Extremadura;CACERES;;;;
Mercadillo de Casar de Palomero;Jueves;;Plaza Mayor;;;;Extremadura;CACERES;;;;
Mercadillo de Valverde del Fresno;Jueves;;Calle Ermita del Espíritu Santo;;;;Extremadura;CACERES;;;;
Mercadillo de Trujillo;Jueves;;Calle Fernán Ruiz;;;;Extremadura;CACERES;;;;
Mercadillo de Villanueva de la Vera;Jueves;;Calle San Justo;;;;Extremadura;CACERES;;;;
Mercadillo de Pizarra;Jueves;;Plaza de la Hispanidad;;;;Extremadura;CACERES;;;;
Mercadillo de Valdefuentes;Viernes;;Plaza de España;;;;Extremadura;CACERES;;;;
Mercadillo de Alcuéscar;Viernes;;Calle San Juan;;;;Extremadura;CACERES;;;;
Mercadillo de Cabezuela del Valle;Viernes;;Plaza de la Extremadura;;;;Extremadura;CACERES;;;;
Mercadillo de Madrigalejo;Viernes;;Calle Encobradero;;;;Extremadura;CACERES;;;;
Mercadillo de Jarandilla de la Vera;Viernes;;Jarandilla de la Vera;;;;Extremadura;CACERES;;;;
Mercadillo de Navas del Madroño;Viernes;;Plaza de la Constitución;;;;Extremadura;CACERES;;;;
Mercadillo de Pinofranqueado;Viernes;;Calle del Obispo Jarrín;;;;Extremadura;CACERES;;;;
Mercadillo de Sierra de Fuentes;Viernes;;Plaza de la Constitución;;;;Extremadura;CACERES;;;;
Mercadillo de Zarza la Mayor;Viernes;;Plaza Mayor;;;;Extremadura;CACERES;;;;
Mercadillo de Pizarra;Sábado;;Plaza de la Hispanidad;;;;Extremadura;CACERES;;;;
Mercadillo de Miajadas;Sábado;;Calle Cervantes;;;;Extremadura;CACERES;;;;
Mercadillo de Campo Lugar;Sábado;;Plaza de España;;;;Extremadura;CACERES;;;;
Mercadillo de Moraleja;Sábado;;Ronda del Foso;;;;Extremadura;CACERES;;;;
Mercadillo de Hervás;Sábado;;Calle Jesús Sánchez Rodríguez;;;;Extremadura;CACERES;;;;
Mercadillo de Madrigal de la Vera;Sábado;;Calle del Cerrillo;;;;Extremadura;CACERES;;;;
Mercadillo de Montánchez;Sábado;;Calle Amador Díaz;;;;Extremadura;CACERES;;;;
Mercadillo de Cáceres;Sábado;;Aldea Moret;;;;Extremadura;CACERES;;;;
Mercadillo de Valdesalor;Sábado;;Plaza de España;;;;Extremadura;CACERES;;;;
Mercadillo de Casatejada;Sábado;;Plaza de la Alameda;;;;Extremadura;CACERES;;;;
Mercadillo de Serradilla;Sábado;;Plaza de la Constitución;;;;Extremadura;CACERES;;;;
Mercadillo de Ahigal;Domingo;;Plaza Mayor;;;;Extremadura;CACERES;;;;
Mercadillo de Malpartida de Plasencia;Domingo;;Paseo de Extremadura;;;;Extremadura;CACERES;;;;
Mercadillo de Puebla de la Calzada;Lunes;;Recinto Ferial;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Oliva de la Frontera;Lunes;;Recinto Ferial;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Medina de las Torres;Lunes;;Calle Cristo;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Talavera la Real;Lunes;;Paseo Virgen de Gracia;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Valdecaballeros;Lunes;;Valdecaballeros;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Valle de la Serena;Lunes;;Plaza de España;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Arroyo de San Serván;Lunes;;Entre campo de deportes y piscina;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Don Benito;Lunes;;Avenida Alonso Martín;;;;Extremadura;BADAJOZ;;;;
