Nombre;Día de Mercadillo;Tipo;Ubicación;Horario;Puestos;Descripción;Comunidad;Provincia
Mercadillo de Ahigal;Domingo;Generalista ;Plaza Mayor - Avda. de los Caídos ;;200;;Extremadura;CACERES
Mercadillo de Alcuéscar;Viernes;Generalista;Calle San Juan;;;;Extremadura;CACERES
Mercadillo de Aliseda;Jueves;Generalista ;Plaza de Extremadura;;;;Extremadura;CACERES
Mercadillo de Almaraz;Lunes;Generalista ;Calle Miguel de Cervantes;;;;Extremadura;CACERES
Mercadillo de Almoharín;Martes;Generalista ;Plaza de España;;;;Extremadura;CACERES
Mercadillo de Arroyo de  la Luz;Jueves;Generalista;Plaza del Divino Morales ;;;;Extremadura;CACERES
Mercadillo de Baños de Montemayor;Miércoles;Generalista;Calle Mayo ;;;;Extremadura;CACERES
Mercadillo de Brozas;Martes;Generalista ;Plaza Príncipe de Asturias;;;;Extremadura;CACERES
Mercadillo de Cabezuela del Valle;Viernes;Generalista;Plaza de la Extremadura;;;;Extremadura;CACERES
Mercadillo de Cáceres;Miércoles;Generalista;Calle Fausto Picapiedra;De 9:00 a 14:00 ;250;;Extremadura;CACERES
Mercadillo de Cáceres;Jueves;Generalista ;Ronda del Carmen;De 9:00 a 14:00 ;;;Extremadura;CACERES
Mercadillo de Cáceres;Sábado;Generalista ;Aldea Moret - Barrio de la Abundancia ;;;;Extremadura;CACERES
Mercadillo de Caminomorisco;Martes;Generalista ;Junto a la gasolinera;;;;Extremadura;CACERES
Mercadillo de Campo Lugar;Miércoles;Generalista ;Plaza de España;;;;Extremadura;CACERES
Mercadillo de Campo Lugar;Sábado ;Generalista ;Plaza de España;;;;Extremadura;CACERES
Mercadillo de Cañamero;Jueves;Generalista ;Plaza de Santo Domingo;;;;Extremadura;CACERES
Mercadillo de Carcaboso;Miércoles;Generalista ;Plaza de España;;;;Extremadura;CACERES
Mercadillo de Casar de Cáceres;Viernes;Generalista;;;;;Extremadura;CACERES
Mercadillo de Casar de Palomero;Jueves;Generalista ;Plaza Mayor;;;;Extremadura;CACERES
Mercadillo de Casatejada;Sábado;Generalista ;Plaza de la Alameda;;;;Extremadura;CACERES
Mercadillo de Coria;Jueves;Generalista;Calle Brasil ;;100;;Extremadura;CACERES
Mercadillo de Garrovillas de Alconétar;Miércoles;Generalista ;Plaza de la Constitución;;;;Extremadura;CACERES
