"Nº INSCRIPCIÓN","DENOMINACIÓN SOCIAL","PROVINCIA","LOCALIDAD","CP","CLASE O GRADO","FECHA INSCRIPCIÓN"
"EXT-061","SOCIEDAD COOPERATIVA NUESTRA SEÑORA DE LA SOLEDAD","BADAJOZ","Aceuchal","06207","Sociedades Cooperativas Agrarias",27/12/76
"EXT-1055","FISKELLES, S. COOP. ESPECIAL","BADAJOZ","Aceuchal","06207","Sociedades Cooperativas Agrarias",11/11/14
"EXT-204","COOPERATIVA EXTREMEÑA DE AJOS ""ACEUCHAL"", S. COOP.","BADAJOZ","Aceuchal","06207","Sociedades Cooperativas Agrarias",19/09/03
"EXT-455","SOCIEDAD COOPERATIVA LIMITADA DEL CAMPO SAN ISIDRO DE ACEUCHAL","BADAJOZ","Aceuchal","06207","Sociedades Cooperativas Agrarias",19/08/83
"EXT-948","LOS CLAROS, S. COOP. ESPECIAL","BADAJOZ","Aceuchal","06207","Sociedades Cooperativas Agrarias",07/03/12
"EXT-945","AJOS TIERRA DE BARROS, SOCIEDAD COOPERATIVA","BADAJOZ","Aceuchal","06207","Sociedades Cooperativas Agroalimentarias",01/02/12
"EXT-1093","AVICOLA DE ACEUCHAL S. COOP. ESPECIAL","BADAJOZ","Aceuchal","06207","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",15/03/16
"EXT-1190","PAJARITOS, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","Aceuchal","06207","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",17/10/18
"EXT-577","S. COOP. AGRICULTORES Y GANADEROS DE AHILLONES","BADAJOZ","Ahillones","06940","Sociedades Cooperativas Agrarias",21/09/01
"EXT-935","ASISTENCIA A MAYORES EN AHILLONES AMA SOCIEDAD COOPERATIVA","BADAJOZ","Ahillones","06940","Sociedades Cooperativas de Trabajo Asociado",06/11/03
"EXT-925","CENTRO DE DIA ALANGE, S. COOP. ESPECIAL","BADAJOZ","Alange","06840","Sociedades Cooperativas de Trabajo Asociado",28/07/11
23227,"SOCIEDAD COOPERATIVA NUESTRA SEÑORA DEL CAMINO","BADAJOZ","Albuera (La)","06170","Sociedades Cooperativas Agrarias",01/12/77
"EXT-334","SOCIEDAD COOPERATIVA OLIVARERA DE LA ALBUERA","BADAJOZ","Albuera (La)","06170","Sociedades Cooperativas Agrarias",27/03/00
"EXT-561","TIERRAS LLANAS DE LA ALBUERA S. COOP. LTDA.","BADAJOZ","Albuera (La)","06170","Sociedades Cooperativas Agrarias",16/09/02
"EXT-1205","PORHORNILLOS, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","Albuera (La)","06170","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",16/04/19
"EXT-671","SOCIEDAD COOPERATIVA SIERRA DE SAN PEDRO","BADAJOZ","Alburquerque","06510","Sociedades Cooperativas Agroalimentarias",01/03/02
"BA-074","SOCIEDAD COOPERATIVA LIMITADA DE TRABAJO ASOCIADO EL CASTILLO DE ALBURQUERQUE","BADAJOZ","Alburquerque","06510","Sociedades Cooperativas de Trabajo Asociado",09/06/81
"EXT-1083","RIVERSTONE, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","Alburquerque","06510","Sociedades Cooperativas de Trabajo Asociado",23/10/15
"EXT-1165","ALVISA, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","Alburquerque","06510","Sociedades Cooperativas de Trabajo Asociado",04/04/18
